Fecha;Cum;Cambios
"2025-12-19 19:30:16";"7174-1";" Estado Registro Invima a Vigente,"
"2025-12-19 19:30:16";"7174-2";" Estado Registro Invima a Vigente,"
"2025-12-19 19:30:18";"6411-1";" Forma Farmaceutica a TABLETA RECUBIERTA,"
"2025-12-19 19:30:18";"6411-2";" Forma Farmaceutica a TABLETA RECUBIERTA,"
"2025-12-19 19:30:18";"6411-3";" Forma Farmaceutica a TABLETA RECUBIERTA,"
"2025-12-19 19:30:18";"6411-5";" Forma Farmaceutica a TABLETA RECUBIERTA,"
"2025-12-19 19:30:19";"64092-1";" Estado Registro Invima a Temp. no comerc - Vigente,"
"2025-12-19 19:30:19";"63504-1";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-12-19 19:30:19";"63504-2";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-12-19 19:30:19";"63504-3";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-12-19 19:30:24";"06";" Estado Registro Invima a Vencido, Registo_Invima a L-003661,"
"2025-12-19 19:30:48";"57687-9";" Embalaje a  Caja por 20 Tabletas en un blister PVC/PVDC/ALU por 10 tabletas,"
"2025-12-19 19:30:57";"55823-1";" Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-12-31,"
"2025-12-19 19:30:57";"55823-2";" Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-12-31,"
"2025-12-19 19:30:57";"55823-3";" Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-12-31,"
"2025-12-19 19:31:35";"52591-1";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-12-19 19:31:59";"51196-1";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-12-05,"
"2025-12-19 19:32:10";"50503-1";" Estado a Inactivo,"
"2025-12-19 19:32:19";"49642-3";" Estado Registro Invima a Temp. no comerc - Vigente,"
"2025-12-19 19:32:19";"49642-2";" Estado Registro Invima a Temp. no comerc - Vigente,"
"2025-12-19 19:32:19";"49642-1";" Estado Registro Invima a Temp. no comerc - Vigente,"
"2025-12-19 19:32:31";"48560-1";" Estado a Inactivo,"
