Fecha;Cum;Cambios
"2025-07-19 19:30:54";"56400-1";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-07-19 19:30:54";"56400-2";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-07-19 19:30:54";"56400-5";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-07-19 19:30:54";"56400-6";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-07-19 19:30:57";"55894-10";" Embalaje a CAJA POR 20TABLETAS EN BLISTER PVC- PVDC/ALUMINIO EN 2 BLISTER POR 10 TABLETAS CADA UNO. , Estado Registro Invima a Vigente, Principio Activo a AMLODIPINO BESILATO  EQUIVALENTE A AMLODIPINO BASE, GRUPO FARMACOLOGICO a BLOQUEANTES DE CANALES DE CALCIO, Sistema Organico a SISTEMA CARDIOVASCULAR,"
"2025-07-19 19:31:01";"55554-8";" Embalaje a CAJA CON 5 BLISTER en pvc incoloro con 5 viales de vidrio tipo I, con polvo liofilizado y 5 ampollas con 2 mL de diluyente (25 viales con polvo liofilziado para reconstituir y 25 ampollas con 2mL de diluyente), Estado Registro Invima a Vigente, GRUPO FARMACOLOGICO a PREPARADOS ANTIANEMICOS, Sistema Organico a SANGRE Y ORGANOS HEMATOPOYETICOS, Forma Farmaceutica a POLVO LIOFILIZADO,"
"2025-07-19 19:31:01";"55553-15";" Embalaje a CAJA CON 5 BLISTER PVC INCOLORO CON 5 VIALES EN VIDRIO TIPO I, TAPON DE BROMOBUTILO Y CIERRE FLIP-OFF (ALUMINIO PLASTICO) CON POLVO LIOFILIZADO , Estado Registro Invima a Vigente, ATC a B03AX01, GRUPO FARMACOLOGICO a PREPARADOS ANTIANEMICOS, Sistema Organico a SANGRE Y ORGANOS HEMATOPOYETICOS, Forma Farmaceutica a POLVOS,"
"2025-07-19 19:31:41";"52477-8";" Estado Registro Invima a Vigente, GRUPO FARMACOLOGICO a ANALGESICO, Sistema Organico a SISTEMA NERVIOSO, Forma Farmaceutica a SOLUCIONES,"
"2025-07-19 19:31:59";"51602-2";" Estado a Inactivo,"
"2025-07-19 19:31:59";"51602-4";" Estado Registro Invima a Vigente, GRUPO FARMACOLOGICO a BLOQUEANTES DE CANALES DE CALCIO, Sistema Organico a SISTEMA CARDIOVASCULAR,"
"2025-07-19 19:32:20";"50227-4";" Estado Registro Invima a Vigente, Nombre Comercial a AMLODIPINO  10 MG TABLETAS, GRUPO FARMACOLOGICO a BLOQUEANTES DE CANALES DE CALCIO, Sistema Organico a SISTEMA CARDIOVASCULAR, Forma Farmaceutica a TABLETAS CON O SIN RECUBR. QUE NO MODIFIQUEN LIBERACION FARMACO,"
"2025-07-19 19:32:29";"49424-1";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-07-10,"
"2025-07-19 19:32:29";"49424-2";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-07-10,"
"2025-07-19 19:32:29";"49424-3";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-07-10,"
"2025-07-19 19:32:29";"49424-4";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-07-10, GRUPO FARMACOLOGICO a PREPARADOS ANTI-ACNE, Sistema Organico a DERMATOLOGICOS, Forma Farmaceutica a GELES,"
"2025-07-19 19:32:47";"47458-9";" Estado a Inactivo,"
"2025-07-19 19:32:52";"47085-10";" Embalaje a CAJA PLEGADIZA X 100 TABLETAS EN BLISTER PVC/PVDC TRANSPARENTE/ALUMINIO., Estado Registro Invima a Vigente, Principio Activo a TIZANIDINA CLORHIDRATO 2,287 MG EQUIVALENTE A  TIZANIDINA BASE/ ACETAMINOFEN, cantidad a 2/ 350, Nombre Comercial a TIZAFEN% TABLETA RECUBIERTA, GRUPO FARMACOLOGICO a ANALGESICO, Sistema Organico a SISTEMA NERVIOSO, Forma Farmaceutica a TABLETAS CON O SIN RECUBR. QUE NO MODIFIQUEN LIBERACION FARMACO,"
"2025-07-19 19:33:23";"43789-1";" Estado Registro Invima a Vigente, Principio Activo a PROTEINAS DE PLASMA HUMANO DE LAS CUALES INMUNOGLOBULINAS SON AL MENOS 95%/ INMUNOGLOBULINA G (IGG)/ INMUNOGLOBULINA M (IGM)/ INMUNOGLOBULINA A (IGA), cantidad a 50/ 38/ 6/ 6, Nombre Comercial a PENTAGLOBIN%, GRUPO FARMACOLOGICO a SUEROS INMUNES E INMUNOGLOBULINAS, Sistema Organico a ANTIINFECCIOSOS PARA USO SISTEMICO, Forma Farmaceutica a SOLUCIONES,"
"2025-07-19 19:33:49";"41589-1";"Fecha Vencimiento Invima a 1900-01-01,"
"2025-07-19 19:33:49";"41589-6";"Fecha Vencimiento Invima a 1900-01-01,"
"2025-07-19 19:33:49";"41589-2";"Fecha Vencimiento Invima a 1900-01-01,"
