Fecha;Cum;Cambios
"2025-05-19 19:30:10";"94321-1";" Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-05-19 19:30:30";"59227-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:30";"59227-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:30";"59227-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:30";"59227-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:30";"59227-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:34";"58931-1";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:30:34";"58930-1";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:30:34";"58930-2";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:30:35";"58929-1";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:30:40";"58452-1";" Estado Registro Invima a Vigente,"
"2025-05-19 19:30:40";"58452-2";" Estado Registro Invima a Vigente,"
"2025-05-19 19:30:45";"58027-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-9";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-10";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-11";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:45";"58027-12";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:47";"57699-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:47";"57699-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:50";"57642-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:50";"57642-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:50";"57642-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:30:50";"57642-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:07";"55145-1";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-05-15,"
"2025-05-19 19:31:07";"55145-2";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-05-15,"
"2025-05-19 19:31:07";"55145-3";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-05-15,"
"2025-05-19 19:31:09";"54981-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:09";"54981-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:11";"54856-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:11";"54856-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:23";"53560-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:23";"53560-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:23";"53560-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:23";"53560-11";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:23";"53560-12";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:23";"53560-13";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:23";"53560-14";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:23";"53512-1";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:31:29";"53286-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:29";"53286-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:29";"53286-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:29";"53286-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:29";"53286-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:29";"53286-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:29";"53286-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:29";"53286-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:30";"53285-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:30";"53285-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:30";"53285-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:30";"53285-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:30";"53285-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:30";"53285-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:30";"53285-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:30";"53285-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:40";"52478-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:40";"52478-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:40";"52478-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:41";"52477-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:41";"52477-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:41";"52477-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:41";"52477-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:41";"52477-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:41";"52477-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:48";"52222-1";" Estado a Inactivo, Estado Registro Invima a Negado,"
"2025-05-19 19:31:48";"52222-2";" Estado a Inactivo, Estado Registro Invima a Negado,"
"2025-05-19 19:31:56";"51729-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:56";"51729-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:56";"51729-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:56";"51729-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:56";"51729-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:56";"51729-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:56";"51729-9";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:56";"51716-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:31:56";"51716-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:00";"51522-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:00";"51522-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:00";"51522-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:00";"51522-9";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:00";"51522-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:00";"51522-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:00";"51522-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:17";"50400-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:24";"49643-1";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2035-04-07,"
"2025-05-19 19:32:24";"49643-2";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2035-04-07,"
"2025-05-19 19:32:26";"49586-3";" Estado a Inactivo, Estado Registro Invima a Vencido,"
"2025-05-19 19:32:28";"49449-1";" Principio Activo a METILDOPA 565 MG EQUIVALENTE A METILDOPA,"
"2025-05-19 19:32:28";"49449-2";" Principio Activo a METILDOPA 565 MG EQUIVALENTE A METILDOPA,"
"2025-05-19 19:32:31";"49101-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:39";"48015-3";" Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-05-19 19:32:50";"47085-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:50";"47085-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:32:50";"47085-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-9";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-10";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-11";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-12";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-13";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-14";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-15";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-16";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-17";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-18";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:02";"46000-19";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:10";"45119-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:14";"44813-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44555-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44555-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44555-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44555-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44555-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44555-9";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44555-10";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44555-11";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:17";"44554-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:18";"44553-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:18";"44553-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:18";"44553-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:18";"44553-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:18";"44553-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:30";"43362-2";" Estado a Inactivo,"
"2025-05-19 19:33:30";"43362-3";" Estado a Inactivo,"
"2025-05-19 19:33:30";"43362-4";" Estado a Inactivo,"
"2025-05-19 19:33:34";"42938-1";" Estado a Inactivo, Estado Registro Invima a Vencido,Fecha Vencimiento Invima a 1900-01-01,"
"2025-05-19 19:33:34";"42938-3";" Estado a Inactivo, Estado Registro Invima a Vencido,Fecha Vencimiento Invima a 1900-01-01,"
"2025-05-19 19:33:34";"42938-4";" Estado a Inactivo, Estado Registro Invima a Vencido,Fecha Vencimiento Invima a 1900-01-01,"
"2025-05-19 19:33:34";"42938-5";" Estado a Inactivo, Estado Registro Invima a Vencido,Fecha Vencimiento Invima a 1900-01-01,"
"2025-05-19 19:33:34";"42938-6";" Estado a Inactivo, Estado Registro Invima a Vencido,Fecha Vencimiento Invima a 1900-01-01,"
"2025-05-19 19:33:38";"42753-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:38";"42753-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:33:45";"42167-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:34:02";"40819-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:34:02";"40819-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:34:11";"40368-1";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:34:11";"40368-2";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:34:11";"40368-3";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:34:11";"40368-4";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:34:11";"40368-5";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-06-03,"
"2025-05-19 19:34:23";"39815-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:34:26";"39381-1";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-04-07,"
"2025-05-19 19:34:26";"39381-2";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-04-07,"
"2025-05-19 19:34:26";"39381-3";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-04-07,"
"2025-05-19 19:34:29";"39210-1";" Estado Registro Invima a Vigente,"
"2025-05-19 19:34:29";"39210-2";" Estado Registro Invima a Vigente,"
"2025-05-19 19:34:29";"39210-3";" Estado Registro Invima a Vigente,"
"2025-05-19 19:34:29";"39210-4";" Estado Registro Invima a Vigente,"
"2025-05-19 19:34:29";"39210-5";" Estado Registro Invima a Vigente,"
"2025-05-19 19:34:29";"39210-7";" Estado Registro Invima a Vigente,"
"2025-05-19 19:34:33";"39003-1";" Estado Registro Invima a Temp. no comerc - Vigente,"
"2025-05-19 19:34:34";"38997-5";" Estado Registro Invima a Abandono,Fecha Vencimiento Invima a 2024-05-07,"
"2025-05-19 19:34:34";"38997-3";" Estado Registro Invima a Abandono,Fecha Vencimiento Invima a 2024-05-07,"
"2025-05-19 19:34:35";"38991-2";" Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-05-19 19:34:35";"38991-1";" Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-05-19 19:34:50";"38393-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:34:50";"38393-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:34:58";"37919-1";" Forma Farmaceutica a ,"
"2025-05-19 19:35:06";"37564-5";" Principio Activo a LISINOPRIL DIHIDRATO 10,888MG  EQUIVALENTE  A  LISINOPRIL,"
"2025-05-19 19:35:06";"37564-7";" Principio Activo a LISINOPRIL DIHIDRATO 10,888MG  EQUIVALENTE  A  LISINOPRIL,"
"2025-05-19 19:35:06";"37564-8";" Principio Activo a LISINOPRIL DIHIDRATO 10,888MG  EQUIVALENTE  A  LISINOPRIL,"
"2025-05-19 19:35:06";"37564-9";" Principio Activo a LISINOPRIL DIHIDRATO 10,888MG  EQUIVALENTE  A  LISINOPRIL,"
"2025-05-19 19:35:22";"36573-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-9";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-10";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:23";"36495-12";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:33";"36112-1";" Estado a Inactivo,"
"2025-05-19 19:35:33";"36112-2";" Estado a Inactivo,"
"2025-05-19 19:35:33";"36112-3";" Estado a Inactivo,"
"2025-05-19 19:35:33";"36112-6";" Estado a Inactivo,"
"2025-05-19 19:35:38";"35894-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:38";"35894-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:38";"35894-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:39";"35862-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:39";"35862-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:39";"35862-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:45";"35595-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:45";"35595-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:45";"35595-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:47";"35539-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:47";"35539-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:47";"35539-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:47";"35539-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:47";"35539-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:47";"35539-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:47";"35539-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:35:49";"35462-3";" Estado a Activo,"
"2025-05-19 19:36:09";"34363-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:09";"34363-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:09";"34363-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:09";"34363-11";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:09";"34363-12";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:09";"34363-13";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:09";"34363-14";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:09";"34363-15";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:12";"34223-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:12";"34223-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:12";"34223-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:24";"33722-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:24";"33722-6";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:24";"33722-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:25";"33657-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:25";"33656-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:25";"33644-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:25";"33644-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:32";"33289-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:32";"33289-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:32";"33289-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:32";"33288-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-8";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-9";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-21";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-56";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-57";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-58";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288-59";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:33";"33288";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:34";"33232-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:34";"33232-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:34";"33232-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:34";"33232-7";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:34";"33231-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:34";"33231-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:34";"33231-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:35";"33230-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:35";"33230-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:35";"33230-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:35";"33220-1";"Fecha Vencimiento Invima a 2025-04-01,"
"2025-05-19 19:36:56";"32249-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:56";"32249-2";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:56";"32249-3";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:56";"32249-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:57";"32187-4";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:36:57";"32187-5";" GRUPO FARMACOLOGICO a ANALGESICO,"
"2025-05-19 19:37:03";"31867-1";" GRUPO FARMACOLOGICO a ANALGESICO,"
