Fecha;Cum;Cambios
"2023-10-23 12:05:20";"9716-1";" Embalaje a CAJA X 1 FRASCO DE ALU POR 10 Ml, CON VALVULA DOSIFICADORA Y UN ADAPTADOR BUCAL EN PP  X 200 DOSIS,"
"2023-10-23 12:05:22";"93689-2";" Embalaje a ESTUCHE DE CARTON CON 1 FRASCO DE VIDRIO AMBAR POR 30 TABLETAS DE LIBERACION RETARDADA, Nombre Comercial a VALCOTE® 250 MG TABLETAS CON CUBIERTA ENTERICA, Forma Farmaceutica a TABLETAS DE LIBERACION RETARDADA,"
"2023-10-23 12:05:22";"93689-3";" Embalaje a ESTUCHE DE CARTON CON 1 FRASCO DE VIDRIO AMBAR POR 50 TABLETAS DE LIBERACION RETARDADA, Nombre Comercial a VALCOTE® 250 MG TABLETAS CON CUBIERTA ENTERICA, Forma Farmaceutica a TABLETAS DE LIBERACION RETARDADA,"
"2023-10-23 12:05:22";"93689-1";" Embalaje a ESTUCHE DE CARTON CON 1 FRASCO DE VIDRIO AMBAR POR 100 TABLETAS DE LIBERACION RETARDADA, Nombre Comercial a VALCOTE® 250 MG TABLETAS CON CUBIERTA ENTERICA, Forma Farmaceutica a TABLETAS DE LIBERACION RETARDADA,"
"2023-10-23 12:05:23";"8879-1";" Embalaje a Caja con:  1 Vial de vidrio tipo 1,  jeringa con agua bacteriostatica para inyeccion, 2 agujas y 2 sachets de toallas desechables impregnadas de  alcohol., Unidad de Medida a ag, Forma Farmaceutica a POLVO ESTERIL PARA RECONSTRUIR A SOLUCION PARA INFUSION,"
"2023-10-23 12:05:25";"7038-1";" Embalaje a CAJA DE CARTON CON BLISTER DE PVC O PET CON UN TAMPON-EMBOLO CON UNA JERINGA PRELLENADA DE VIDRIO INCOLORO NEUTRO,TIPO I, Principio Activo a A/BRISBANE/02/2018 (H1N1) PDM09 - CEPA ANALOGA (A/BRISBANE/02/2018, IVR-190)./ A/SOUTH AUSTRALIA/34/2019 (H3N2) - CEPA ANALOGA (A/SOUTH AUSTRALIA/34/2019, IVR-197)./ B/WASHINGTON/02/2019-LIKE (B/VICTORIA LINEAGE) - CEPA ANALOGA  (B/VICTORIA/705/2018, BVR-11),"
"2023-10-23 12:05:25";"7038-2";" Embalaje a CAJA DE CARTON CON BLISTER DE PVC O PET CON UN TAMPON-EMBOLO CON  10 JERINGAS PRELLENADA DE VIDRIO INCOLORO NEUTRO,TIPO I, Principio Activo a A/BRISBANE/02/2018 (H1N1) PDM09 - CEPA ANALOGA (A/BRISBANE/02/2018, IVR-190)./ A/SOUTH AUSTRALIA/34/2019 (H3N2) - CEPA ANALOGA (A/SOUTH AUSTRALIA/34/2019, IVR-197)./ B/WASHINGTON/02/2019-LIKE (B/VICTORIA LINEAGE) - CEPA ANALOGA  (B/VICTORIA/705/2018, BVR-11),"
"2023-10-23 12:05:26";"7028-6";" Embalaje a INSTITUCIONAL: CAJA X 1 TUBO COLAPSIBLE DE ALUMINIO CON RECUBRIMIENTO INTERIOR DE RESINA EPOXIFENOLICA X 20g.,"
"2023-10-23 12:05:27";"6414-1";" Embalaje a CAJA PLEGADIZA CON FRASCO PEAD NATURAL, TAPA DE PP BLANCA, FRASCO PEAD NATURAL TAPA BLANCA DE PP CON DILUENTE, JERINGA PLASTICA POR 10 mL Y FOLLETO DE MODO DE USO.,"
"2023-10-23 12:05:28";"64094-1";" Embalaje a CAJA CON UN VIAL DE VIDRIO TIPO I TRANSPARENTE CON LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE + UN VIAL DE SOLVENTE + SET DE INFUSION COMPUESTO POR (JERINGA, MIX 2 VIAL CON REGISTRO INVIMA 2018DM-0018368, AGUJA DE MARIPOSA CON TUBO, PVC (BUT,"
