Fecha;Cum;Cambios
"2025-11-19 19:30:20";"63502-1";" Estado a Inactivo, Estado Registro Invima a Vencido,Fecha Vencimiento Invima a 1900-01-01,"
"2025-11-19 19:30:20";"63502-2";" Estado a Inactivo, Estado Registro Invima a Vencido,Fecha Vencimiento Invima a 1900-01-01,"
"2025-11-19 19:30:20";"63502-3";" Estado a Inactivo, Estado Registro Invima a Vencido,Fecha Vencimiento Invima a 1900-01-01,"
"2025-11-19 19:30:26";"59606-10";" Embalaje a CAJA DE CARTON PLEGADIZO CON 30 TABLETAS EN BLISTER PVC/PE/PVDC/ALUMINIO, Estado Registro Invima a Vigente, GRUPO FARMACOLOGICO a AGENTES QUE ACTUAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA, Sistema Organico a SISTEMA CARDIOVASCULAR,"
"2025-11-19 19:31:10";"55156-1";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-2";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-3";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-4";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-6";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-7";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-9";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-11";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-12";" Estado a Inactivo,"
"2025-11-19 19:31:10";"55156-13";" Estado a Inactivo,"
"2025-11-19 19:31:52";"52271-1";" Estado Registro Invima a Vigente,"
"2025-11-19 19:32:30";"49884-3";" Embalaje a Caja de carton que contiene una jeringa prellenada etiquetada en un blister de PVC sellado individual , Estado Registro Invima a Vigente, Nombre Comercial a HYALGAN % 20 MG/2 ML SOLUCION INYECTABLE , GRUPO FARMACOLOGICO a OTROS FARMACOS PARA DESORDENES DEL SISTEMA MUSCULOESQUELETICO, Sistema Organico a SISTEMA MUSCULOESQUELETICO, Forma Farmaceutica a SOLUCIONES,"
"2025-11-19 19:32:50";"47823-1";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-11-19 19:34:00";"41661-1";" Estado Registro Invima a Temp. no comercializado - En Tramite Renov,"
"2025-11-19 19:34:00";"41661-2";" Estado Registro Invima a Temp. no comercializado - En Tramite Renov,"
"2025-11-19 19:34:00";"41661-3";" Estado Registro Invima a Temp. no comercializado - En Tramite Renov,"
"2025-11-19 19:34:00";"41661-4";" Estado Registro Invima a Temp. no comercializado - En Tramite Renov,"
"2025-11-19 19:34:00";"41661-5";" Estado Registro Invima a Temp. no comercializado - En Tramite Renov,"
"2025-11-19 19:34:10";"41072-1";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-11-19 19:34:10";"41072-10";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-11-19 19:34:18";"40609-5";" Embalaje a Caja de cartulina impresa por (30) sobres laminados, en papel- aluminio- PE, por 5 g c/u., Estado Registro Invima a Vigente, GRUPO FARMACOLOGICO a PREPARADOS PARA LA TOS Y EL RESFRIADO, Sistema Organico a SISTEMA RESPIRATORIO, Forma Farmaceutica a GRANULADOS,"
"2025-11-19 19:35:01";"38526-4";" Embalaje a Caja plegadiza con frasco de PEAD con tapa de seguridad de PP, por 20 mL suspension , Estado Registro Invima a Vigente, Nombre Comercial a ALBENDAZOL 400 MG/20 ML SUSPENSION, GRUPO FARMACOLOGICO a ANTIHELMINTICOS, Sistema Organico a PRODUCTOS ANTIPARASITARIOS, Forma Farmaceutica a SUSPENSIONES,"
"2025-11-19 19:35:05";"38384-1";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-11-19 19:35:17";"37794-4";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-11-19 19:35:17";"37794-5";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-11-19 19:35:34";"36782-3";" Embalaje a CAJA POR 300 TABLETAS CUBIERTAS EN BLISTER PVC/ALUMINIO  POR 10 TABLETAS CUBIERTAS CADA BLISTER, Estado Registro Invima a Vigente, GRUPO FARMACOLOGICO a BLOQUEANTES DE CANALES DE CALCIO, Sistema Organico a SISTEMA CARDIOVASCULAR, Forma Farmaceutica a TABLETAS CON O SIN RECUBR. QUE NO MODIFIQUEN LIBERACION FARMACO,"
"2025-11-19 19:35:34";"36743-1";" Estado Registro Invima a Vigente,"
"2025-11-19 19:35:34";"36743-2";" Estado Registro Invima a Vigente,"
"2025-11-19 19:35:34";"36743-3";" Estado Registro Invima a Vigente,"
"2025-11-19 19:35:34";"36743-4";" Estado Registro Invima a Vigente,"
"2025-11-19 19:35:34";"36743-5";" Estado Registro Invima a Vigente,"
"2025-11-19 19:35:34";"36743-7";" Estado Registro Invima a Vigente,"
"2025-11-19 19:35:37";"36606-5 ";" Embalaje a CAJA PLEGADIZA POR 300 TABLETAS RECUBIERTAS EN BLISTER PVC ALUMINIO POR 10 CAPSULAS., Estado Registro Invima a Vigente, GRUPO FARMACOLOGICO a BLOQUEANTES DE CANALES DE CALCIO, Sistema Organico a SISTEMA CARDIOVASCULAR, Forma Farmaceutica a TABLETAS CON O SIN RECUBR. QUE NO MODIFIQUEN LIBERACION FARMACO,"
"2025-11-19 19:36:42";"33777-2";" Principio Activo a N-ACETIL CISTEINA,"
"2025-11-19 19:36:42";"33777-3";" Principio Activo a N-ACETIL CISTEINA,"
"2025-11-19 19:36:42";"33777-4";" Principio Activo a N-ACETIL CISTEINA,"
"2025-11-19 19:37:11";"32662-10";" Embalaje a GARRAFA PLASTICA   X 3500 ML  EN PEAD CON TAPA EN  POLIPROPILENO, Estado Registro Invima a Vigente, Principio Activo a YODO POLIVINILPIRROLIDONA 8,00 G ( EQUIVALENTE A YODO DISPONIBLE), Nombre Comercial a BACTRODERM %  ESPUMA, GRUPO FARMACOLOGICO a ANTISEPTICOS Y DESINFECTANTES, Sistema Organico a DERMATOLOGICOS, Forma Farmaceutica a SOLUCIONES,"
"2025-11-19 19:37:20";"32177-1";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-11-19 19:38:01";"29282-10";" Estado Registro Invima a Vigente, GRUPO FARMACOLOGICO a DIURETICOS, Sistema Organico a SISTEMA CARDIOVASCULAR, Forma Farmaceutica a TABLETAS CON O SIN RECUBR. QUE NO MODIFIQUEN LIBERACION FARMACO,"
"2025-11-19 19:38:23";"27222-2";" Embalaje a FRASCO DE VIDRIO AMBAR TIPO III CON TAPA PLASTICA X 120 ML,"
"2025-11-19 19:38:23";"27222-5";" Embalaje a FRASCO (ENVASE) TIPO PET AMBAR X 120 ML ,"
"2025-11-19 19:38:39";"25040-1";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-2";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-3";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-4";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-5";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-6";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-7";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-8";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-9";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-10";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-11";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-12";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-13";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-14";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-15";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-16";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-17";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-18";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-19";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-20";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-21";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-22";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-23";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-24";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-25";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-26";" Estado a Activo,"
"2025-11-19 19:38:39";"25040-27";" Estado a Activo,"
"2025-11-19 19:38:47";"24275-6";" Embalaje a CAJA DE CARTON POR 30 CAPSULAS EN BLISTER ALUMINIO/ALUMNIO, Estado Registro Invima a Vigente, Principio Activo a LISADOS BACTERIANOS LIOFILIZADOS DE HAEMOPHILUS INFLUENZAE, STREPTOCOCCUS (DIPLOCOCCUS) PNEUMONIAE, KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE Y SSP OZAENAE, STAPHYLOCOCCUS AUREUS, STREPTOCOCCUS PYOGENES Y SANGUINIS (VIRIDANS), MORAXELLA (BRANHAMELLA/NEISSERIA) CATARRHALIS., Nombre Comercial a BRONCHO VAXOM NINOS, GRUPO FARMACOLOGICO a OTROS PRODUCTOS PARA EL SISTEMA RESPIRATORIO, Sistema Organico a SISTEMA RESPIRATORIO,"
"2025-11-19 19:38:59";"230598-1";" Embalaje a Caja con un vial de vidrio tipo I transparente con liofilizado  para reconstituir a solucion inyectable + un vial de solvente + set de infusion  compuesto por (jeringa, mix 2 vial, aguja de mariposa con tubo, PVC (BUTTERFLY  NEEDLE WITH PVC TUBE).  ,"
"2025-11-19 19:39:31";"228737-1";" Estado a Inactivo,"
