Fecha;Cum;Cambios
"2026-01-19 19:30:39";"58682-1";" Estado a Activo,"
"2026-01-19 19:30:55";"56152-1";" Principio Activo a SULFAMETOXAZOL/ TRIMETOPRIMA,"
"2026-01-19 19:31:09";"54981-1";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2026-01-19 19:31:09";"54981-2";" Estado Registro Invima a Temp. no comerc - Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2026-01-19 19:32:04";"51196-1";"Fecha Vencimiento Invima a 2025-11-20,"
"2026-01-19 19:32:25";"49586-3";" Estado Registro Invima a Temp. no comerc - Vigente,"
"2026-01-19 19:33:02";"45999-1";" Forma Farmaceutica a OVULOS,"
"2026-01-19 19:33:02";"45999-2";" Forma Farmaceutica a OVULOS,"
"2026-01-19 19:33:02";"45999-3";" Forma Farmaceutica a OVULOS,"
"2026-01-19 19:33:12";"44895-5";" Estado Registro Invima a Vigente,"
"2026-01-19 19:33:12";"44895-6";" Estado Registro Invima a Vigente,"
"2026-01-19 19:33:14";"44813-1";" Principio Activo a FENILEFRINA CLORHIDRATO/ ACETAMINOFEN COMPRESION DIRECTA AL 90%  EQUIVALENTE A ACETAMINOFEN/ CETIRIZINA DICLORHIDRATO,"
"2026-01-19 19:33:17";"44553-1";"Fecha Vencimiento Invima a 3000-12-31,"
"2026-01-19 19:33:17";"44553-2";"Fecha Vencimiento Invima a 3000-12-31,"
"2026-01-19 19:33:17";"44553-3";"Fecha Vencimiento Invima a 3000-12-31,"
"2026-01-19 19:33:17";"44553-4";"Fecha Vencimiento Invima a 3000-12-31,"
"2026-01-19 19:33:17";"44553-5";"Fecha Vencimiento Invima a 3000-12-31,"
"2026-01-19 19:33:33";"42938-1";"Fecha Vencimiento Invima a 2025-11-20,"
"2026-01-19 19:33:33";"42938-3";"Fecha Vencimiento Invima a 2025-11-20,"
"2026-01-19 19:33:33";"42938-4";"Fecha Vencimiento Invima a 2025-11-20,"
"2026-01-19 19:33:33";"42938-5";"Fecha Vencimiento Invima a 2025-11-20,"
"2026-01-19 19:33:33";"42938-6";"Fecha Vencimiento Invima a 2025-11-20,"
